Lookout
Dag	P	T	Q
521030	1.92024	8.6	0.352758409388017
521031	0	15.8	0.352758409388017
521101	0	5.85	0.352758409388017
521102	0	5	0.352758409388017
521103	0	6	0.352758409388017
521104	0	6	0.352758409388017
521105	0	8	0.313563030567126
521106	0	6.75	0.313563030567126
521107	0	6.5	0.274367651746235
521108	0	7.05	0.274367651746235
521109	0	3.85	0.274367651746235
521110	2.88036	7.1	0.313563030567126
521111	8.001	6.6	0.431149167029798
521112	12.48156	5.5	0.744712197596924
521113	28.8036	4	1.09747060698494
521114	9.92124	3.45	1.01907984934316
521115	0	2.3	0.744712197596924
521116	0	1.25	0.470344545850689
521117	0	3.55	0.391953788208907
521118	0	1.55	0.352758409388017
521119	0	2.8	0.352758409388017
521120	0	4.1	0.352758409388017
521121	0	4.35	0.313563030567126
521122	0	4.8	0.274367651746235
521123	0	1.1	0.274367651746235
521124	0	0.3	0.274367651746235
521125	0	-0.2	0.274367651746235
521126	0	0	0.235172272925344
521127	0	-2.35	0.235172272925344
521128	0	-3.1	0.235172272925344
521129	0	-3.51934494222222	0.235172272925344
521130	0	-4.35267827555556	0.235172272925344
521201	38.4048	0.688669269777778	0.823102955238706
521202	22.4028	3.60533593644444	1.29344750108939
521203	9.6012	3.5	1.05827522816405
521204	18.88236	2.77200260311111	1.99896431986543
521205	20.8026	3.60533593644444	1.88137818340276
521206	0.64008	1.24422482533333	1.64620591047741
521207	0	1.79978038088889	4.35068704911887
521208	116.8146	1.79978038088889	2.93965341156681
521209	10.88136	0.85	2.07735507750721
521210	39.04488	2.49422482533333	5.56574379256648
521211	16.64208	4.99422482533333	7.76068500653637
521212	1.6002	5.8	9.25010940173021
521213	0	2.3	6.31045599016341
521214	0	1.75	4.74264083732778
521215	0	-0.4	3.91953788208907
521216	0	2.45	3.29241182095482
521217	0	1.1	2.90045803274591
521218	0	1.35	2.5476996233579
521219	0	3.88311371422222	2.39091810807433
521220	0	3.5	2.23413659279077
521221	50.88636	2.77200260311111	2.23413659279077
521222	0	1.79978038088889	2.74367651746235
521223	0	-0.4	2.66528575982057
521224	0	1.10533593644444	2.23413659279077
521225	0	0.549780380888889	1.92057356222365
521226	0	2.77200260311111	1.76379204694008
521227	0	2.21644704755556	1.6854012892983
521228	0	3.88311371422222	1.64620591047741
521229	43.2054	1.93866926977778	3.48838871505928
521230	0	1.4	4.82103159496956
521231	6.08076	5.82755815866667	4.11551477619353
530101	25.6032	3.75	4.35068704911887
530102	0	4.25	13.5224056932073
530103	39.36492	5	11.7978090250881
530104	0	3.55	8.54459258295418
530105	0	-1.7	6.7808005360141
530106	2.56032	0.35	5.64413455020827
530107	31.04388	3.2	6.66321439955143
530108	29.76372	6.35	12.542521222685
530109	56.007	7.1	36.2557254093239
530110	0	3.75	22.9292966102211
530111	53.44668	5.5	17.1283805447293
530112	21.44268	6	27.4367651746235
530113	26.24328	6.5	27.4367651746235
530114	7.68096	3.7	19.5976894104454
530115	4.16052	4.75	14.1887271331624
530116	65.92824	4.75	31.9050383602051
530117	53.12664	5.5	70.5516818776033
530118	122.57532	8.47012081033333	110.922922063121
530119	24.96312	3.95	56.0493917138738
530120	40.96512	5.69234303255556	44.2907780676065
530121	6.4008	3.7	28.3774542663249
530122	22.4028	4.30345414366667	21.9494121396988
530123	0	5.8	18.6178049399231
530124	0	5.55	13.63999182967
530125	0	4	11.5626367521628
530126	44.8056	1.24789858811111	9.79884470522268
530127	0	1.386787477	8.07424803710349
530128	21.12264	1.35	8.30942031002884
530129	0	4.5	12.5817166015059
530130	34.56432	7.77567636588889	16.5404498624159
530131	21.76272	4.5	19.7936663045498
530201	0	5.05	21.5574583514899
530202	44.16552	3.7	22.5373428220122
530203	67.2084	5.47881891111111	44.2907780676065
530204	23.36292	4.45	30.494004722653
530205	55.04688	2.97881891111111	30.494004722653
530206	26.24328	3.4	38.72503427504
530207	0	7.28437446666667	30.9643492685037
530208	42.88536	3.67326335555556	24.6930886571612
530209	0	3.55	16.8932082718039
530210	0	3.3	11.9937859191926
530211	0	4.3	9.05413250762576
530212	0	2.55	7.44712197596924
530213	0	2.28437446666667	6.31045599016341
530214	0	2.45	5.64413455020827
530215	29.12364	2.28437446666667	5.13459462553669
530216	15.04188	2.42326335555556	6.97677743011855
530217	56.64708	2.56215224444444	20.7735507750721
530218	46.08576	0.6	12.4249350862224
530219	0	1.65	8.66217871941685
530220	0	2.15	7.01597280893944
530221	0	1.65	5.9185022019545
530222	7.36092	2.3	5.4873530349247
530223	0	2.8	4.86022697379045
530224	0	2.85	4.46827318558154
530225	0	3.9	4.11551477619353
530226	0	3.85	3.91953788208907
530227	0	1.5	3.95873326090996
530228	0	0.7	4.11551477619353
530301	0	1.55	3.91953788208907
530302	5.44068	2.25	3.68436560916373
530303	1.28016	5.65	3.52758409388017
530304	0	5.45	3.33160719977571
530305	0	5.5	3.13563030567126
530306	0	5.5	3.01804416920859
530307	0	8.1	3.09643492685037
530308	0	9.4	3.68436560916373
530309	0	8.05	4.38988242793976
530310	0	5.25	4.78183621614867
530311	9.28116	6.35	5.05620386789491
530312	24.32304	4	5.4873530349247
530313	0	1.5	5.05620386789491
530314	0	2.8	4.70344545850689
530315	0	4	4.70344545850689
530316	35.84448	3.51443825433333	6.31045599016341
530317	19.84248	2.45	6.50643288426786
530318	16.002	1.431104921	6.31045599016341
530319	4.8006	2.65	6.38884674780519
530320	24.64308	2.4	6.19286985370074
530321	0	1.29221603211111	6.70240977837232
530322	75.84948	2.4	10.5827522816405
530323	0	8.8	12.5817166015059
530324	8.64108	5.6	12.8952796320731
530325	2.88036	5.35	11.9937859191926
530326	0	5.65	9.52447705347645
530327	0	5.95	7.99585727946171
530328	0	2.4	7.2119497030439
530329	0	3	6.38884674780519
530330	20.16252	3.45	6.31045599016341
530331	0	4.25	5.99689295959628
530401	0	5.45	5.56574379256648
530402	0	8.1	5.05620386789491
530403	0	7.25	4.78183621614867
530404	0	5.65	4.70344545850689
530405	0	5.1	4.86022697379045
530406	9.28116	5.69155766022222	4.97781311025312
530407	10.88136	3	4.78183621614867
530408	0	3.2	4.38988242793976
530409	0	3.3	4.03712401855175
530410	0	5.35	3.84114712444729
530411	0	4	3.56677947270106
530412	0	3.5	3.68436560916373
530413	32.96412	3.75	4.11551477619353
530414	1.28016	6.85	4.11551477619353
530415	0	6.5	3.95873326090996
530416	5.12064	5.25	4.19390553383531
530417	12.48156	7.35	5.05620386789491
530418	0.64008	7.5	5.05620386789491
530419	0	10.85	5.84011144431272
530420	0	11.4	7.64309887007369
530421	0	12.9	9.17171864408843
530422	8.32104	7.9	10.3083846298943
530423	0	8	10.1907984934316
530424	0	11.5	8.30942031002884
530425	16.96212	12.35	7.87827114299904
530426	10.56132	8.35	8.54459258295418
530427	0	7.55	11.0139014486703
530428	4.48056	4.75	10.4651661451778
530429	15.36192	1.9	8.93654637116309
530430	14.72184	4.16377988244444	8.07424803710349
530501	8.32104	6.558913388	7.09436356658122
530502	0	6.83669116577778	6.58482364190964
530503	0	12.75	6.11447909605896
530504	0	17.6	7.01597280893944
530505	0	11.85	8.66217871941685
530506	0	19.6144689435556	9.05413250762576
530507	0	14.8922467213333	8.93654637116309
530508	0	8.50335783244445	7.87827114299904
530509	0	7.39224672133333	6.81999591483499
530510	48.96612	7.94780227688889	5.99689295959628
530511	0	7.39224672133333	5.56574379256648
530512	0	10.2	5.21298538317847
530513	0	14.6144689435556	5.13459462553669
530514	5.44068	8.85	5.36976689846203
530515	7.68096	13.45	5.13459462553669
530516	0	15.7	4.70344545850689
530517	0	13.05	4.62505470086511
530518	19.2024	12.6700244991111	6.58482364190964
530519	25.92324	10.308913388	10.5827522816405
530520	8.32104	8.7	9.40689091701378
530521	24.32304	5.3	9.17171864408843
530522	3.84048	7.1	8.42700644649151
530523	0	9.89224672133333	8.77976485587953
530524	0	6.00335783244444	8.42700644649151
530525	0	7.11446894355556	7.52551273361102
530526	34.24428	8.78113561022222	7.44712197596924
530527	0	10.7255800546667	8.66217871941685
530528	0	10.1700244991111	8.19183417356616
530529	25.6032	12.1144689435556	7.87827114299904
530530	0	9.89224672133333	7.01597280893944
530531	0	8.78113561022222	6.31045599016341
